gps_ref,name,distance,rating,total_ratings,categories,latitude,longitude,address
"40.7128,-74.006",City Hall Park,147,8.8,1323,"[{'id': 16032, 'name': 'Park', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/parks_outdoors/park_', 'suffix': '.png'}}]",40.712271,-74.007602,"17 Park Row (btwn Broadway & Centre St), New York, NY 10038"
"40.7128,-74.006",The Bar Room at Temple Court,164,9.2,255,"[{'id': 13013, 'name': 'Hotel Bar', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/hotel_bar_', 'suffix': '.png'}}]",40.711478,-74.007004,"123 Nassau St, New York, NY 10038"
"40.7128,-74.006",Variety Coffee Roasters,178,8.2,13,"[{'id': 13035, 'name': 'Coffee Shop', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/coffeeshop_', 'suffix': '.png'}}]",40.711231,-74.006165,"140 Nassau St (Beekman St), New York, NY 10038"
"40.7128,-74.006",Birch Coffee,226,8.1,230,"[{'id': 13035, 'name': 'Coffee Shop', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/coffeeshop_', 'suffix': '.png'}}]",40.710915,-74.00589,"Entrance on Beekman, 8 Spruce St Manhattan (Beekman Street), New York, NY 10038"
"40.7128,-74.006",Takahachi Bakery,254,9.1,878,"[{'id': 13002, 'name': 'Bakery', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/bakery_', 'suffix': '.png'}}, {'id': 13145, 'name': 'Fast Food Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/fastfood_', 'suffix': '.png'}}, {'id': 13263, 'name': 'Japanese Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/japanese_', 'suffix': '.png'}}]",40.71387,-74.008277,"25 Murray St (at Church St), New York, NY 10007"
"40.7128,-74.006",Los Tacos No. 1,283,9.3,161,"[{'id': 13306, 'name': 'Taco Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/taco_', 'suffix': '.png'}}]",40.71429,-74.00873,"136 Church St (btw Murray & Warren), New York, NY 10007"
"40.7128,-74.006",Da Claudio,259,8.1,164,"[{'id': 13236, 'name': 'Italian Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/italian_', 'suffix': '.png'}}]",40.710765,-74.007455,"21 Ann St (btwn Theatre Aly & Park Row), New York, NY 10038"
"40.7128,-74.006",Joe's Pizza FiDi,327,8.9,156,"[{'id': 13064, 'name': 'Pizzeria', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/pizza_', 'suffix': '.png'}}]",40.710003,-74.007687,"124 Fulton St (at Nassau St), New York, NY 10038"
"40.7128,-74.006",Zara,295,7.7,210,"[{'id': 17043, 'name': 'Clothing Store', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/apparel_', 'suffix': '.png'}}]",40.711004,-74.008556,"222 Broadway (Fulton), New York, NY 10038"
"40.7128,-74.006",Nish Nush,341,8.8,560,"[{'id': 13145, 'name': 'Fast Food Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/fastfood_', 'suffix': '.png'}}, {'id': 13302, 'name': 'Mediterranean Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/mediterranean_', 'suffix': '.png'}}, {'id': 13309, 'name': 'Middle Eastern Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/middleeastern_', 'suffix': '.png'}}]",40.715669,-74.007606,"88 Reade St (at Church St), New York, NY 10013"
"40.7128,-74.006",Nobu Downtown,376,8.6,391,"[{'id': 13263, 'name': 'Japanese Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/japanese_', 'suffix': '.png'}}]",40.710866,-74.009685,"195 Broadway (at Dey St), New York, NY 10007"
"40.7128,-74.006",Lot-Less Closeouts,384,8.4,78,"[{'id': 17033, 'name': 'Department Store', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/departmentstore_', 'suffix': '.png'}}, {'id': 17034, 'name': 'Discount Store', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/discountstore_', 'suffix': '.png'}}]",40.709515,-74.005835,"95 Fulton St (btwn Gold & William St.), New York, NY 10038"
"40.7128,-74.006",Anthropologie,392,8.6,28,"[{'id': 17043, 'name': 'Clothing Store', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/apparel_', 'suffix': '.png'}}]",40.710866,-74.009685,"195 Broadway, New York, NY 10007"
"40.7128,-74.006",Suited,416,9.1,51,"[{'id': 13035, 'name': 'Coffee Shop', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/coffeeshop_', 'suffix': '.png'}}]",40.709355,-74.007749,"1 Dutch St (John St), New York, NY 10038"
"40.7128,-74.006",Nish Nush,413,8.3,225,"[{'id': 13287, 'name': 'Kosher Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/default_', 'suffix': '.png'}}, {'id': 13309, 'name': 'Middle Eastern Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/middleeastern_', 'suffix': '.png'}}, {'id': 13377, 'name': 'Vegan and Vegetarian Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/vegetarian_', 'suffix': '.png'}}]",40.70951,-74.007973,"41 John St (btwn Nassau & Dutch St), New York, NY 10038"
"40.7128,-74.006",Kestè Wall Street,422,8.5,123,"[{'id': 13064, 'name': 'Pizzeria', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/pizza_', 'suffix': '.png'}}, {'id': 13236, 'name': 'Italian Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/italian_', 'suffix': '.png'}}]",40.709167,-74.00473,"77 Fulton St (Ann St), New York, NY 10038"
"40.7128,-74.006",Atera,439,9.0,238,"[{'id': 13302, 'name': 'Mediterranean Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/mediterranean_', 'suffix': '.png'}}, {'id': 13303, 'name': 'Mexican Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/mexican_', 'suffix': '.png'}}, {'id': 13314, 'name': 'New American Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/newamerican_', 'suffix': '.png'}}]",40.716911,-74.00556,"77 Worth St (btwn Broadway & Church St), New York, NY 10013"
"40.7128,-74.006",Holywater,423,8.4,16,"[{'id': 13009, 'name': 'Cocktail Bar', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/cocktails_', 'suffix': '.png'}}, {'id': 13016, 'name': 'Lounge', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/default_', 'suffix': '.png'}}, {'id': 13338, 'name': 'Seafood Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/seafood_', 'suffix': '.png'}}]",40.716076,-74.008495,"112 Reade St (at W Broadway), New York, NY 10013"
"40.7128,-74.006",Takahachi,450,9.0,429,"[{'id': 13276, 'name': 'Sushi Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/sushi_', 'suffix': '.png'}}]",40.716631,-74.007906,"145 Duane St (btwn W Broadway & Church St), New York, NY 10013"
"40.7128,-74.006",Voyager Espresso,454,8.9,246,"[{'id': 13035, 'name': 'Coffee Shop', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/coffeeshop_', 'suffix': '.png'}}, {'id': 13332, 'name': 'Salad Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/salad_', 'suffix': '.png'}}, {'id': 13334, 'name': 'Sandwich Spot', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/deli_', 'suffix': '.png'}}]",40.708787,-74.00681,"110 William St (btwn John & Fulton St), New York, NY 10038"
"40.7128,-74.006",Vanessa V Pena MD - Weill Cornell Medicine,435,8.2,17,"[{'id': 15000, 'name': 'Health and Medicine', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/building/medical_', 'suffix': '.png'}}]",40.716928,-74.006914,"40 Worth St (btwn Church & W Broadway), New York, NY 10013"
"40.7128,-74.006",Wf Beer Garden,411,7.7,21,"[{'id': 13007, 'name': 'Beer Garden', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/beergarden_', 'suffix': '.png'}}, {'id': 13065, 'name': 'Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/default_', 'suffix': '.png'}}]",40.712073,-74.010911,"33 Vesey St, New York, NY 10007"
"40.7128,-74.006",Zucker's Bagels and Smoked Fish,447,8.3,577,"[{'id': 13001, 'name': 'Bagel Shop', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/bagels_', 'suffix': '.png'}}, {'id': 13338, 'name': 'Seafood Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/seafood_', 'suffix': '.png'}}]",40.715609,-74.009786,"146 Chambers St (btwn W. Broadway & Greenwich St), New York, NY 10007"
"40.7128,-74.006",Oculus Plaza,489,8.9,493,"[{'id': 16000, 'name': 'Landmarks and Outdoors', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/parks_outdoors/default_', 'suffix': '.png'}}]",40.711733,-74.011509,"Greenwich St (at Fulton St), New York, NY 10007"
"40.7128,-74.006",Tiny's & The Bar Upstairs,481,8.4,739,"[{'id': 13003, 'name': 'Bar', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/pub_', 'suffix': '.png'}}, {'id': 13068, 'name': 'American Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/default_', 'suffix': '.png'}}, {'id': 13236, 'name': 'Italian Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/italian_', 'suffix': '.png'}}]",40.716734,-74.008085,"135 W Broadway (between Duane St & Thomas St), New York, NY 10013"
"40.7128,-74.006",Hole In The Wall,503,9.0,475,"[{'id': 13035, 'name': 'Coffee Shop', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/coffeeshop_', 'suffix': '.png'}}, {'id': 13068, 'name': 'American Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/default_', 'suffix': '.png'}}]",40.708387,-74.005659,"15 Cliff St (btwn Fulton & John St), New York, NY 10038"
"40.7128,-74.006",The Odeon,498,8.7,1043,"[{'id': 13068, 'name': 'American Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/default_', 'suffix': '.png'}}, {'id': 13148, 'name': 'French Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/french_', 'suffix': '.png'}}, {'id': 13236, 'name': 'Italian Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/italian_', 'suffix': '.png'}}]",40.716902,-74.007873,"145 W Broadway (at Thomas St), New York, NY 10013"
"40.7128,-74.006",Think Coffee,492,8.2,122,"[{'id': 13035, 'name': 'Coffee Shop', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/coffeeshop_', 'suffix': '.png'}}, {'id': 13065, 'name': 'Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/default_', 'suffix': '.png'}}]",40.716803,-74.003592,"350 Broadway (Leonard St), New York, NY 10013"
"40.7128,-74.006",55 Fulton Market,467,7.6,363,"[{'id': 17069, 'name': 'Grocery Store', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/food_grocery_', 'suffix': '.png'}}, {'id': 17069, 'name': 'Grocery Store', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/food_grocery_', 'suffix': '.png'}}, {'id': 13000, 'name': 'Dining and Drinking', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/default_', 'suffix': '.png'}}]",40.708739,-74.004626,"55 Fulton St, New York, NY 10038"
"40.7128,-74.006",Lil Chef Mama,467,7.6,8,"[{'id': 13352, 'name': 'Thai Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/thai_', 'suffix': '.png'}}]",40.708504,-74.005315,"27 Cliff St (btw John & Fulton), New York, NY 10038"
"40.7128,-74.006",Xi’an Famous Foods,496,8.0,62,"[{'id': 13099, 'name': 'Chinese Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/asian_', 'suffix': '.png'}}]",40.709101,-74.009135,"8 Liberty Pl (Maiden Lane), New York, NY 10038"
"40.7128,-74.006",Kaffe 1668,526,8.5,1615,"[{'id': 13034, 'name': 'Café', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/cafe_', 'suffix': '.png'}}, {'id': 13035, 'name': 'Coffee Shop', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/coffeeshop_', 'suffix': '.png'}}, {'id': 13068, 'name': 'American Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/default_', 'suffix': '.png'}}]",40.7152,-74.010948,"275 Greenwich St (at Murray St), New York, NY 10007"
"40.7128,-74.006",The Edge,4605,9.1,136,"[{'id': 16045, 'name': 'Roof Deck', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/hotel_roofdeck_', 'suffix': '.png'}}]",40.716603,-74.008953,"30 Hudson St, New York, NY 10013"
"34.0522,-118.2437",Badmaash,124,8.4,314,"[{'id': 13057, 'name': 'Gastropub', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/gastropub_', 'suffix': '.png'}}, {'id': 13199, 'name': 'Indian Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/indian_', 'suffix': '.png'}}]",34.051018,-118.244958,"108 W 2nd St (at Main St), Los Angeles, CA 90012"
"34.0522,-118.2437",Redbird,173,8.9,301,"[{'id': 13009, 'name': 'Cocktail Bar', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/cocktails_', 'suffix': '.png'}}, {'id': 13314, 'name': 'New American Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/newamerican_', 'suffix': '.png'}}]",34.050542,-118.244029,"114 E 2nd St, Los Angeles, CA 90012"
"34.0522,-118.2437",Marukai,278,8.2,196,"[{'id': 17033, 'name': 'Department Store', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/departmentstore_', 'suffix': '.png'}}]",34.050095,-118.242252,"123 Astronaut E S Onizuka St (E 1st St), Los Angeles, CA 90012"
"34.0522,-118.2437",Fugetsu-Do,370,8.8,83,"[{'id': 13002, 'name': 'Bakery', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/bakery_', 'suffix': '.png'}}, {'id': 17060, 'name': 'Candy Store', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/candystore_', 'suffix': '.png'}}]",34.050297,-118.240274,"315 E 1st St (btw San Pedro & Central), Los Angeles, CA 90012"
"34.0522,-118.2437",Marugame Monzo,417,8.8,466,"[{'id': 13281, 'name': 'Udon Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/ramen_', 'suffix': '.png'}}]",34.050037,-118.239987,"329 E 1st St (btwn San Pedro & Central Ave), Los Angeles, CA 90012"
